BIPA	GRAPHEME	COUNT	SYMBOLS
<NA>	-	1	
<NA>	NA	14	
<NA>	W	1	
<NA>	aɰ	2	
<NA>	creak	1	
<NA>	c͇	1	
<NA>	dr	3	
<NA>	dy	1	
<NA>	dʝ	1	
<NA>	h1	1	
<NA>	h2	1	
<NA>	h3	1	
<NA>	hy	1	
<NA>	khr	1	
<NA>	kr	1	
<NA>	ky	1	
<NA>	ly	1	
<NA>	lɻ	1	
<NA>	ndr	1	
<NA>	pr	1	
<NA>	rd	1	
<NA>	rdy	1	
<NA>	re	1	
<NA>	ri	1	
<NA>	riu	1	
<NA>	ro	1	
<NA>	ru	1	
<NA>	ræ	1	
<NA>	rɑ	1	
<NA>	rɡ	1	
<NA>	t2	1	
<NA>	tr	1	
<NA>	ty	1	
<NA>	tç	1	
<NA>	t​ʰ​	1	
<NA>	wE	1	
<NA>	waj	1	
<NA>	waːj	1	
<NA>	wo	1	
<NA>	wæ	1	
<NA>	wõ	1	
<NA>	wɑ	1	
<NA>	wəj	1	
<NA>	ħh	1	
<NA>	ř	1	
<NA>	ǁʼ	1	
<NA>	ǂ͇	1	
<NA>	ɟʑ	1	
<NA>	ɤɰ	2	
k	K	1	◌k
l	L	3	◌l
n	N	1	◌n
r	R	4	◌r
a	a	178	◌a
ae	ae	1	◌a ◌e
ai	ai	10	◌a ◌i
ai̯	aj	2	◌a ◌i ◌̯
au	au	7	◌a ◌u
au̯	aw	2	◌a ◌u ◌̯
aɯ	aɯ	1	◌a ◌ɯ
aː	aː	83	◌a ◌ː
aːi	aːi	1	◌a ◌ː ◌i
aːi̯	aːj	1	◌a ◌ː ◌i ◌̯
aːu	aːu	1	◌a ◌ː ◌u
aːu̯	aːw	1	◌a ◌ː ◌u ◌̯
aˑ	aˑ	2	◌a ◌ˑ
ã	ã	9	◌a ◌̃
ãː	ãː	2	◌a ◌̃ ◌ː
ã̘	ã̘	1	◌a ◌̘ ◌̃
a̘	a̘	3	◌a ◌̘
a̟	a̟	9	◌a ◌̟
a̟ː	a̟ː	2	◌a ◌̟ ◌ː
a̤	a̤	1	◌a ◌̤
ḁ	ḁ	1	◌a ◌̥
a̰	a̰	1	◌a ◌̰
a̰ː	a̰ː	1	◌a ◌̰ ◌ː
b	b	142	◌b
bʰ	bʰ	3	◌b ◌ʰ
bʲ	bʲ	1	◌b ◌ʲ
bʷ	bʷ	1	◌b ◌ʷ
bː	bː	6	◌b ◌ː
bʱʰ	b̤ʰ	1	◌b ◌ʱ ◌ʰ
b̥	b̥	1	◌b ◌̥
c	c	65	◌c
cç	cç	2	◌c ◌c ◌̧
cçʰ	cçʰ	1	◌c ◌c ◌̧ ◌ʰ
cçʼ	cçʼ	1	◌c ◌c ◌̧ ◌’
tɕ	cɕ	1	◌t ◌ɕ
cʰ	cʰ	8	◌c ◌ʰ
cʼ	cʼ	11	◌c ◌ʼ
cˀ	cˀ	4	◌c ◌ˀ
cː	cː	1	◌c ◌ː
c̟	c̟	1	◌c ◌̟
c̟ʰ	c̟ʰ	1	◌c ◌̟ ◌ʰ
c̟ʼ	c̟ʼ	1	◌c ◌̟ ◌’
cç	c͡ç	1	◌c ◌c ◌̧
cʼ	c’	1	◌c ◌ʼ
d	d	142	◌d
dz	dz	26	◌d ◌z
dzʲ	dzʲ	1	◌d ◌z ◌ʲ
dz̪	dz̪	2	◌d ◌z ◌̪
dɮ	dɮ	3	◌d ◌ɮ
ɖʐ	dʐ	1	◌ɖ ◌ʐ
dʑ	dʑ	3	◌d ◌ʑ
dʒ	dʓ	6	◌d ◌ʒ
dʒʱ	dʓʱ	1	◌d ◌ʒ ◌ʱ
dʰ	dʰ	4	◌d ◌ʰ
dʲ	dʲ	4	◌d ◌ʲ
dʼ	dʼ	1	◌d ◌’
dː	dː	5	◌d ◌ː
dˤ	dˤ	1	◌d ◌ˤ
dʒ	d̠ʒ	13	◌d ◌ʒ
dʒʷ	d̠ʒʷ	1	◌d ◌ʒ ◌ʷ
d̠ʲ	d̠ʲ	1	◌d ◌̠ ◌ʲ
dʱʰ	d̤ʰ	1	◌d ◌ʱ ◌ʰ
d̥	d̥	1	◌d ◌̥
d̪	d̪	3	◌d ◌̪
dð	d̪ð̪	1	◌d ◌ð
d̪ː	d̪ː	1	◌d ◌̪ ◌ː
d̪ˤ	d̪ˤ	1	◌d ◌̪ ◌ˤ
d̪ˤː	d̪ˤː	1	◌d ◌̪ ◌ˤ ◌ː
dz	d͡z	4	◌d ◌z
dzʲ	d͡zʲ	1	◌d ◌z ◌ʲ
dɮ	d͡ɮ	1	◌d ◌ɮ
ɖʐ	d͡ʐ	2	◌ɖ ◌ʐ
dʒ	d͡ʒ	3	◌d ◌ʒ
e	e	151	◌e
ea	ea	2	◌e ◌a
ei	ei	5	◌e ◌i
ei̯	ej	1	◌e ◌i ◌̯
eu	eu	4	◌e ◌u
eu̯	ew	2	◌e ◌u ◌̯
eː	eː	78	◌e ◌ː
eˑ	eˑ	1	◌e ◌ˑ
ẽ	ẽ	8	◌e ◌̃
ẽː	ẽː	1	◌e ◌̃ ◌ː
ĕ	ĕ	1	◌e ◌̆
e̘	e̘	4	◌e ◌̘
e̤	e̤	1	◌e ◌̤
e̥	e̥	2	◌e ◌̥
f	f	41	◌f
fː	fː	4	◌f ◌ː
g	g	20	◌g
gʷː	gʷː	1	◌g ◌ʷ ◌ː
gː	gː	4	◌g ◌ː
h	h	130	◌h
ʰk	hk	1	◌ʰ ◌k
ʰl	hl	1	◌ʰ ◌l
ʰm	hm	2	◌ʰ ◌m
ʰn	hn	2	◌ʰ ◌n
ʰp	hp	1	◌ʰ ◌p
ʰr	hr	1	◌ʰ ◌r
ʰt	ht	1	◌ʰ ◌t
ʰts	hts	1	◌ʰ ◌t ◌s
ʰtɕ	htɕ	1	◌ʰ ◌t ◌ɕ
ʰʈʂ	htʂ	1	◌ʰ ◌ʈ ◌ʂ
ʰtʃ	ht̠ʃ	1	◌ʰ ◌t ◌ʃ
ʰw	hw	1	◌ʰ ◌w
ʰŋ	hŋ	2	◌ʰ ◌ŋ
hʷ	hʷ	5	◌h ◌ʷ
hˀ	hˀ	1	◌h ◌ˀ
hː	hː	4	◌h ◌ː
i	i	210	◌i
ia	ia	4	◌i ◌a
ie	ie	4	◌i ◌e
iu	iu	2	◌i ◌u
iə	iə	7	◌i ◌ə
iɛ	iɛ	4	◌i ◌ɛ
iː	iː	103	◌i ◌ː
iˑ	iˑ	2	◌i ◌ˑ
ĩ	ĩ	10	◌i ◌̃
ĩː	ĩː	1	◌i ◌̃ ◌ː
i̘	i̘	4	◌i ◌̘
ĩ̘	ĩ̘	1	◌i ◌̘ ◌̃
i̝	i̝	3	◌i ◌̝
i̤	i̤	1	◌i ◌̤
i̥	i̥	2	◌i ◌̥
j	j	213	◌j
i̯a	ja	1	◌i ◌̯ ◌a
i̯e	je	1	◌i ◌̯ ◌e
jʼ	jʼ	6	◌j ◌’
jˀ	jˀ	4	◌j ◌ˀ
jː	jː	8	◌j ◌ː
j̊	j̥	3	◌j ◌̊
i̯ẽ	jẽ	1	◌i ◌̯ ◌e ◌̃
k	k	233	◌k
kʰ	kh	1	◌k ◌ʰ
kˡʰ	khl	1	◌k ◌ˡ ◌ʰ
kː	kk	1	◌k ◌ː
kˡ	kl	1	◌k ◌ˡ
kp	kp	9	◌k ◌p
kpʰ	kpʰ	1	◌k ◌p ◌ʰ
kxʼ	kxʼ	1	◌k ◌x ◌’
kʰ	kʰ	40	◌k ◌ʰ
kʷʰ	kʰʷ	1	◌k ◌ʷ ◌ʰ
kʲ	kʲ	5	◌k ◌ʲ
kʲʰ	kʲʰ	1	◌k ◌ʲ ◌ʰ
kʲʷ	kʲʷ	1	◌k ◌ʲ ◌ʷ
kʼʲ	kʲʼ	1	◌k ◌’ ◌ʲ
kʷ	kʷ	53	◌k ◌ʷ
kʷʰ	kʷʰ	9	◌k ◌ʷ ◌ʰ
kʼʷ	kʷʼ	10	◌k ◌ʼ ◌ʷ
kʷˀ	kʷˀ	1	◌k ◌ʷ ◌ˀ
kʷː	kʷː	1	◌k ◌ʷ ◌ː
kʲ	kʸ	1	◌k ◌ʲ
kʼ	kʼ	30	◌k ◌ʼ
kʼʷ	kʼʷ	1	◌k ◌ʼ ◌ʷ
kʼː	kʼː	1	◌k ◌’ ◌ː
kˀ	kˀ	9	◌k ◌ˀ
kʷˀ	kˀʷ	2	◌k ◌ʷ ◌ˀ
kˤ	kˁ	1	◌k ◌ˤ
kː	kː	16	◌k ◌ː
k̰	k̰	1	◌k ◌̰
k	k​	1	◌k
kʷ	k​ʷ​	2	◌k ◌ʷ
kʼ	k’	4	◌k ◌ʼ
l	l	191	◌l
lʲ	lʲ	1	◌l ◌ʲ
lʼ	lʼ	5	◌l ◌’
lˀ	lˀ	2	◌l ◌ˀ
lː	lː	14	◌l ◌ː
l̠ʲ	l̠ʲ	1	◌l ◌̠ ◌ʲ
lʱ	l̤	1	◌l ◌ʱ
l̥	l̥	14	◌l ◌̥
l̪	l̪	3	◌l ◌̪
l̪ː	l̪ː	1	◌l ◌̪ ◌ː
m	m	232	◌m
ⁿb	mb	14	◌ⁿ ◌b
ⁿbʷ	mbʷ	1	◌ⁿ ◌b ◌ʷ
ⁿp	mp	3	◌ⁿ ◌p
ⁿpʰ	mph	1	◌ⁿ ◌p ◌ʰ
mʰ	mʰ	2	◌m ◌ʰ
mʲ	mʲ	1	◌m ◌ʲ
mʷ	mʷ	4	◌m ◌ʷ
mʼʷ	mʷʼ	1	◌m ◌’ ◌ʷ
mʼ	mʼ	6	◌m ◌’
mˀ	mˀ	4	◌m ◌ˀ
mː	mː	14	◌m ◌ː
mˠ	mˠ	1	◌m ◌ˠ
mʱ	m̤	1	◌m ◌ʱ
m̥	m̥	7	◌m ◌̥
n	n	239	◌n
ⁿd	nd	15	◌ⁿ ◌d
ⁿdz	ndz	1	◌ⁿ ◌d ◌z
ⁿɖʐ	ndʐ	1	◌ⁿ ◌ɖ ◌ʐ
ⁿdʑ	ndʑ	1	◌ⁿ ◌d ◌ʑ
ⁿdʒ	nd̠ʒ	1	◌ⁿ ◌d ◌ʒ
ⁿs	ns	2	◌ⁿ ◌s
ⁿt	nt	3	◌ⁿ ◌t
ⁿtʰ	nth	1	◌ⁿ ◌t ◌ʰ
ⁿts	nts	1	◌ⁿ ◌t ◌s
ⁿtsʰ	ntsh	1	◌ⁿ ◌t ◌s ◌ʰ
ⁿtɕʰ	ntɕh	1	◌ⁿ ◌t ◌ɕ ◌ʰ
ⁿʈʂʰ	ntʂh	1	◌ⁿ ◌ʈ ◌ʂ ◌ʰ
ⁿtʃ	nt̠ʃ	1	◌ⁿ ◌t ◌ʃ
ⁿz	nz	2	◌ⁿ ◌z
ⁿð	nð	1	◌ⁿ ◌ð
ⁿǂ	nǂ	1	◌ⁿ ◌ǂ
ⁿǃ	nǃ	1	◌ⁿ ◌ǃ
ⁿɟ̟	nɟ̟	1	◌ⁿ ◌ɟ ◌̟
nʲ	nʲ	3	◌n ◌ʲ
nʼ	nʼ	6	◌n ◌’
nˀ	nˀ	4	◌n ◌ˀ
nː	nː	14	◌n ◌ː
n̠ʲ	n̠ʲ	1	◌n ◌̠ ◌ʲ
nʱ	n̤	1	◌n ◌ʱ
n̥	n̥	6	◌n ◌̥
ⁿǀ	n̥ǀ	1	◌ⁿ ◌ǀ
ⁿǁ	n̥ǁ	1	◌ⁿ ◌ǁ
ⁿǂ	n̥ǂ	1	◌ⁿ ◌ǂ
ⁿǃ	n̥ǃ	1	◌ⁿ ◌ǃ
n̪	n̪	2	◌n ◌̪
n̪ː	n̪ː	1	◌n ◌̪ ◌ː
n̻	n̻	1	◌n ◌̻
o	o	152	◌o
oː	o:	1	◌o ◌ː
oa	oa	2	◌o ◌a
oi	oi	4	◌o ◌i
ou	ou	2	◌o ◌u
ou̯	ow	1	◌o ◌u ◌̯
oː	oː	73	◌o ◌ː
oˑ	oˑ	2	◌o ◌ˑ
