GRAPHEME	ROUNDEDNESS	HEIGHT	CENTRALITY	ALIAS	EXTRA	NOTE
a	unrounded	open	front			
ä	unrounded	open	front		relative_articulation:centralized	
a̟	unrounded	open	front		relative_articulation:advanced
a̟ː	unrounded	open	front		relative_articulation:advanced,duration:long
äː	unrounded	open	front		relative_articulation:centralized,duration:long	
aː	unrounded	open	front		duration:long	
aˑ	unrounded	open	front		duration:mid-long	
a˞	unrounded	open	front		rhotacization:rhotacized	
ã	unrounded	open	front		nasalization:nasalized	
ãː	unrounded	open	front		nasalization:nasalized,duration:long	
ă	unrounded	open	front		duration:ultra-short	
ḁ	unrounded	open	front		voicing:devoiced	
a̯	unrounded	open	front		syllabicity:non-syllabic	
a̰	unrounded	open	front		creakiness:creaky	
a̰ːː	unrounded	open	front		creakiness:creaky,duration:ultra-long	
e	unrounded	close-mid	front			
eː	unrounded	close-mid	front		duration:long	
eːː	unrounded	close-mid	front		duration:ultra-long	
eˑ	unrounded	close-mid	front		duration:mid-long	
ẽ	unrounded	close-mid	front		nasalization:nasalized	
ẽː	unrounded	close-mid	front		nasalization:nasalized,duration:long	
ĕ	unrounded	close-mid	front		duration:ultra-short	
e̞	unrounded	mid	front			
e̞ː	unrounded	mid	front		duration:long	
ɑ̟	unrounded	open	back		relative_articulation:advanced	
ᴀ	unrounded	open	back	+	relative_articulation:advanced	
e̞ˑ	unrounded	mid	front		duration:mid-long	
ẽ̞	unrounded	mid	front		nasalization:nasalized		
ẽ̞ː	unrounded	mid	front		nasalization:nasalized,duration:long	
e̤	unrounded	close-mid	front		breathiness:breathy	
e̥	unrounded	close-mid	front		voicing:devoiced	
e̯	unrounded	close-mid	front		syllabicity:non-syllabic	
ḛ	unrounded	close-mid	front		creakiness:creaky	
e̹	rounded	close-mid	front	+		
e̹ː	rounded	close-mid	front	+	duration:long	
i	unrounded	close	front			
iː	unrounded	close	front		duration:long	
iːː	unrounded	close	front		duration:ultra-long	
iˑ	unrounded	close	front		duration:mid-long	
ĩ	unrounded	close	front		nasalization:nasalized	
ĩː	unrounded	close	front		nasalization:nasalized,duration:long	
i̤	unrounded	close	front		breathiness:breathy	
i̥	unrounded	close	front		voicing:devoiced	
ḭ	unrounded	close	front		creakiness:creaky	
ḭː	unrounded	close	front		creakiness:creaky,duration:long	
ḭːː	unrounded	close	front		creakiness:creaky,duration:ultra-long	
i̹	rounded	close	front	+		
i͓	unrounded	close	front		friction:with-friction
o	rounded	close-mid	back			
oː	rounded	close-mid	back		duration:long	
oːː	rounded	close-mid	back		duration:ultra-long	
oˑ	rounded	close-mid	back		duration:mid-long	
oˤ	rounded	close-mid	back		pharyngealization:pharyngealized	
