BIPA_GRAPHEME	CLTS_NAME	GENERATED	EXPLICIT	GRAPHEME	SYMBOLS	URL	LATEX	FEATURES	SOUND	IMAGE	COUNT	NOTE
<NA>	<NA>		+	ɡ̥ʰ	<NA>						1	
<NA>	<NA>		+	ʔj	<NA>						2	
<NA>	<NA>		+	⁰²	<NA>						1	
<NA>	<NA>		+	⁰⁴	<NA>						1	
+			+	+							43	
+			+	_							81	
a	unrounded open front vowel		+	a	◌a						196	
ai	from unrounded open front to unrounded close front diphthong	+	+	ai	◌a ◌i						20	
ao	from unrounded open front to rounded close-mid back diphthong	+	+	ao	◌a ◌o						2	
au	from unrounded open front to rounded close back diphthong	+	+	au	◌a ◌u						15	
aɪ	from unrounded open front to unrounded near-close near-front diphthong	+	+	aɪ	◌a ◌ɪ						1	
aʊ	from unrounded open front to rounded near-close near-back diphthong	+	+	aʊ	◌a ◌ʊ						1	
aː	long unrounded open front vowel		+	aː	◌a ◌ː						78	
a̤	breathy unrounded open front vowel	+	+	a̤	◌a ◌̤						4	
a̤ː	long breathy unrounded open front vowel	+	+	a̤ː	◌a ◌̤ ◌ː						4	
a̰	creaky unrounded open front vowel		+	a̰	◌a ◌̰						1	
b	voiced bilabial stop consonant		+	b	◌b						146	
bˢ	with-sibilant-release voiced bilabial stop consonant	+	+	bz	◌b ◌ˢ						1	
bʰ	aspirated voiced bilabial stop consonant		+	bʰ	◌b ◌ʰ						2	
bʲ	palatalized voiced bilabial stop consonant		+	bʲ	◌b ◌ʲ						2	
bː	long voiced bilabial stop consonant		+	bː	◌b ◌ː						10	
bʱ	breathy voiced bilabial stop consonant		+	b̤	◌b ◌ʱ						3	
b̥	devoiced voiced bilabial stop consonant		+	b̥	◌b ◌̥						2	
b̥ʰ	aspirated devoiced voiced bilabial stop consonant		+	b̥ʰ	◌b ◌̥ ◌ʰ						1	
c	voiceless palatal stop consonant		+	c	◌c						40	
cʰ	aspirated voiceless palatal stop consonant		+	cʰ	◌c ◌ʰ						20	
cʼ	voiceless palatal ejective stop consonant		+	cʼ	◌c ◌ʼ						1	
cː	long voiceless palatal stop consonant		+	cː	◌c ◌ː						1	
d	voiced alveolar stop consonant		+	d	◌d						146	
dz	voiced alveolar sibilant affricate consonant		+	dz	◌d ◌z						27	
dʑ	voiced alveolo-palatal sibilant affricate consonant		+	dʑ	◌d ◌ʑ						21	
dʒ	voiced post-alveolar sibilant affricate consonant		+	dʒ	◌d ◌ʒ						43	
dʒʰ	aspirated voiced post-alveolar sibilant affricate consonant	+	+	dʒʰ	◌d ◌ʒ ◌ʰ						1	
dʰ	aspirated voiced alveolar stop consonant		+	dʰ	◌d ◌ʰ						2	
dʲ	palatalized voiced alveolar stop consonant		+	dʲ	◌d ◌ʲ						8	
dː	long voiced alveolar stop consonant		+	dː	◌d ◌ː						12	
dʒː	long voiced post-alveolar sibilant affricate consonant		+	dːʒ	◌d ◌ʒ ◌ː						6	
dʱ	breathy voiced alveolar stop consonant		+	d̤	◌d ◌ʱ						3	
dʱː	long breathy voiced alveolar stop consonant		+	d̤ː	◌d ◌ʱ ◌ː						1	
d̥	devoiced voiced alveolar stop consonant		+	d̥	◌d ◌̥						2	
d̥ʰ	aspirated devoiced voiced alveolar stop consonant	+	+	d̥ʰ	◌d ◌̥ ◌ʰ						1	
d̪	voiced dental stop consonant		+	d̪	◌d ◌̪						1	
d̪ʰ	aspirated voiced dental stop consonant	+	+	d̪ʰ	◌d ◌̪ ◌ʰ						1	
e	unrounded close-mid front vowel		+	e	◌e						184	
ei	from unrounded close-mid front to unrounded close front diphthong	+	+	ei	◌e ◌i						4	
eu	from unrounded close-mid front to rounded close back diphthong	+	+	eu	◌e ◌u						2	
eə	from unrounded close-mid front to unrounded mid central diphthong	+	+	eə	◌e ◌ə						2	
eɪ	from unrounded close-mid front to unrounded near-close near-front diphthong	+	+	eɪ	◌e ◌ɪ						1	
eː	long unrounded close-mid front vowel		+	eː	◌e ◌ː						74	
e̞	unrounded mid front vowel		+	e̞	◌e ◌̞						1	
e̤	breathy unrounded close-mid front vowel		+	e̤	◌e ◌̤						4	
e̤ː	long breathy unrounded close-mid front vowel	+	+	e̤ː	◌e ◌̤ ◌ː						5	
e̯a	from non-syllabic unrounded close-mid front to unrounded open front diphthong	+	+	e̯a	◌e ◌̯ ◌a						2	
f	voiceless labio-dental fricative consonant		+	f	◌f						111	
fʲ	palatalized voiceless labio-dental fricative consonant		+	fʲ	◌f ◌ʲ						1	
fː	long voiceless labio-dental fricative consonant		+	fː	◌f ◌ː						4	
h	voiceless glottal fricative consonant		+	h	◌h						90	
h̃	nasalized voiceless glottal fricative consonant		+	h̃	◌h ◌̃						1	
i	unrounded close front vowel		+	i	◌i						195	
ia	from unrounded close front to unrounded open front diphthong	+	+	ia	◌i ◌a						11	
ie	from unrounded close front to unrounded close-mid front diphthong	+	+	ie	◌i ◌e						5	
iə	from unrounded close front to unrounded mid central diphthong	+	+	iə	◌i ◌ə						3	
iː	long unrounded close front vowel		+	iː	◌i ◌ː						73	
iːː	ultra-long unrounded close front vowel		+	iːː	◌i ◌ː ◌ː						1	
i̤	breathy unrounded close front vowel		+	i̤	◌i ◌̤						4	
i̤ː	long breathy unrounded close front vowel	+	+	i̤ː	◌i ◌̤ ◌ː						3	
j	voiced palatal approximant consonant		+	j	◌j						185	
jʰ	aspirated voiced palatal approximant consonant	+	+	jʰ	◌j ◌ʰ						8	
jː	long voiced palatal approximant consonant		+	jː	◌j ◌ː						5	
k	voiceless velar stop consonant		+	k	◌k						206	
kʰ	aspirated voiceless velar stop consonant		+	kʰ	◌k ◌ʰ						74	
kʲ	palatalized voiceless velar stop consonant		+	kʲ	◌k ◌ʲ						5	
kʷ	labialized voiceless velar stop consonant		+	kʷ	◌k ◌ʷ						9	
kʼ	voiceless velar ejective stop consonant		+	kʼ	◌k ◌ʼ						1	
kː	long voiceless velar stop consonant		+	kː	◌k ◌ː						27	
l	voiced alveolar lateral approximant consonant		+	l	◌l						176	
lʰ	aspirated voiced alveolar lateral approximant consonant	+	+	lʰ	◌l ◌ʰ						2	
lʲ	palatalized voiced alveolar lateral approximant consonant		+	lʲ	◌l ◌ʲ						1	
lː	long voiced alveolar lateral approximant consonant		+	lː	◌l ◌ː						15	
lˠ	velarized voiced alveolar lateral approximant consonant		+	lˠ	◌l ◌ˠ						8	
l̩	syllabic voiced alveolar lateral approximant consonant		+	l̩	◌l ◌̩						2	
m	voiced bilabial nasal consonant		+	m	◌m						206	
mʰ	aspirated voiced bilabial nasal consonant		+	mʰ	◌m ◌ʰ						6	
mʲ	palatalized voiced bilabial nasal consonant		+	mʲ	◌m ◌ʲ						3	
mː	long voiced bilabial nasal consonant		+	mː	◌m ◌ː						18	
m̥	devoiced voiced bilabial nasal consonant		+	m̥	◌m ◌̥						3	
m̩	syllabic voiced bilabial nasal consonant		+	m̩	◌m ◌̩						11	
n	voiced alveolar nasal consonant		+	n	◌n						204	
nʰ	aspirated voiced alveolar nasal consonant	+	+	nʰ	◌n ◌ʰ						6	
nʲ	palatalized voiced alveolar nasal consonant		+	nʲ	◌n ◌ʲ						28	
nː	long voiced alveolar nasal consonant		+	nː	◌n ◌ː						27	
n̥	devoiced voiced alveolar nasal consonant		+	n̥	◌n ◌̥						2	
n̩	syllabic voiced alveolar nasal consonant		+	n̩	◌n ◌̩						7	
n̪	voiced dental nasal consonant		+	n̪	◌n ◌̪						1	
o	rounded close-mid back vowel		+	o	◌o						187	
oi	from rounded close-mid back to unrounded close front diphthong	+	+	oi	◌o ◌i						11	
ou	from rounded close-mid back to rounded close back diphthong	+	+	ou	◌o ◌u						8	
oə	from rounded close-mid back to unrounded mid central diphthong	+	+	oə	◌o ◌ə						1	
oː	long rounded close-mid back vowel		+	oː	◌o ◌ː						67	
o̞	rounded mid back vowel		+	o̞	◌o ◌̞						1	
o̤	breathy rounded close-mid back vowel		+	o̤	◌o ◌̤						3	
o̤ː	long breathy rounded close-mid back vowel	+	+	o̤ː	◌o ◌̤ ◌ː						6	
o̯a	from non-syllabic rounded close-mid back to unrounded open front diphthong	+	+	o̯a	◌o ◌̯ ◌a						2	
o̰	creaky rounded close-mid back vowel		+	o̰	◌o ◌̰						1	
p	voiceless bilabial stop consonant		+	p	◌p						194	
pf	voiceless labio-dental affricate consonant		+	pf	◌p ◌f						3	
pfʰ	aspirated voiceless labio-dental affricate consonant		+	pfʰ	◌p ◌f ◌ʰ						1	
pˢ	with-sibilant-release voiceless bilabial stop consonant	+	+	ps	◌p ◌ˢ						5	
pʰ	aspirated voiceless bilabial stop consonant		+	pʰ	◌p ◌ʰ						64	
pʲ	palatalized voiceless bilabial stop consonant		+	pʲ	◌p ◌ʲ						2	
pʼ	voiceless bilabial ejective stop consonant		+	pʼ	◌p ◌ʼ						1	
pː	long voiceless bilabial stop consonant		+	pː	◌p ◌ː						13	
q	voiceless uvular stop consonant		+	q	◌q						15	
qʰ	aspirated voiceless uvular stop consonant		+	qʰ	◌q ◌ʰ						5	
qʷ	labialized voiceless uvular stop consonant		+	qʷ	◌q ◌ʷ						4	
r	voiced alveolar trill consonant		+	r	◌r						162	
rʰ	aspirated voiced alveolar trill consonant	+	+	rʰ	◌r ◌ʰ						4	
rʲ	palatalized voiced alveolar trill consonant		+	rʲ	◌r ◌ʲ						2	
rː	long voiced alveolar trill consonant		+	rː	◌r ◌ː						9	
r̩	syllabic voiced alveolar trill consonant		+	r̩	◌r ◌̩						1	
s	voiceless alveolar sibilant fricative consonant		+	s	◌s						202	
sʰ	aspirated voiceless alveolar sibilant fricative consonant	+	+	sʰ	◌s ◌ʰ						1	
sʲ	palatalized voiceless alveolar sibilant fricative consonant		+	sʲ	◌s ◌ʲ						7	
sː	long voiceless alveolar sibilant fricative consonant		+	sː	◌s ◌ː						28	
t	voiceless alveolar stop consonant		+	t	◌t						205	
ts	voiceless alveolar sibilant affricate consonant		+	ts	◌t ◌s						89	
tsʰ	aspirated voiceless alveolar sibilant affricate consonant		+	tsʰ	◌t ◌s ◌ʰ						46	
tɕ	voiceless alveolo-palatal sibilant affricate consonant		+	tɕ	◌t ◌ɕ						59	
tɕʰ	aspirated voiceless alveolo-palatal sibilant affricate consonant		+	tɕʰ	◌t ◌ɕ ◌ʰ						38	
ʈʂ	voiceless retroflex sibilant affricate consonant		+	tʂ	◌ʈ ◌ʂ						5	
tʃ	voiceless post-alveolar sibilant affricate consonant		+	tʃ	◌t ◌ʃ						70	
tʃʰ	aspirated voiceless post-alveolar sibilant affricate consonant		+	tʃʰ	◌t ◌ʃ ◌ʰ						4	
tʰ	aspirated voiceless alveolar stop consonant		+	tʰ	◌t ◌ʰ						62	
tʲ	palatalized voiceless alveolar stop consonant		+	tʲ	◌t ◌ʲ						17	
tʼ	voiceless alveolar ejective stop consonant		+	tʼ	◌t ◌ʼ						1	
tː	long voiceless alveolar stop consonant		+	tː	◌t ◌ː						31	
